order_id,order_date,warehouse,region,product_category,delivery_status,eta_days,actual_days,cost_lkr
ORD-104710,2024-04-14,Colombo-Central,Western,Meat & Seafood,Delayed,4,8.0,17060.9
ORD-100691,2024-10-17,Galle-South,Southern,Dairy,In Transit,3,,4002.12
ORD-100065,2024-04-28,Jaffna-North,Northern,Dairy,In Transit,2,,3704.75
ORD-103426,2024-06-24,Kandy-Hub,Central,Dairy,Delivered,5,5.0,5347.56
ORD-104820,2024-07-15,Jaffna-North,Northern,Beverages,Delivered,4,4.0,3047.06
ORD-100393,2024-08-06,Kurunegala-West,North-Western,Frozen,Delivered,4,4.0,5830.48
ORD-101424,2024-04-03,Kurunegala-West,North-Western,Produce,Delivered,4,4.0,1832.38
ORD-100642,2024-11-07,Jaffna-North,Northern,Beverages,Delivered,4,4.0,5317.89
ORD-102835,2024-07-17,Galle-South,Southern,Produce,In Transit,3,,3687.37
ORD-101738,2024-01-02,Kandy-Hub,Central,Produce,Delayed,3,7.0,3909.79
ORD-102945,2024-02-09,Galle-South,Southern,Meat & Seafood,Delivered,1,1.0,15862.27
ORD-102067,2024-11-27,Colombo-Central,Western,Dairy,Delayed,5,7.0,3509.93
ORD-103347,2024-02-16,Kandy-Hub,Central,Frozen,Delivered,3,3.0,6573.75
ORD-100530,2024-08-06,Galle-South,Southern,Produce,Delivered,3,3.0,3857.35
ORD-104301,2024-08-27,Kurunegala-West,North-Western,Dry Goods,Delivered,3,3.0,3216.21
ORD-100828,2024-11-11,Colombo-Central,Western,Beverages,Delayed,4,5.0,4223.44
ORD-101204,2024-08-25,Colombo-Central,Western,Produce,Delivered,5,5.0,3953.02
ORD-100179,2024-07-01,Galle-South,Southern,Produce,Cancelled,4,,3906.26
ORD-102765,2024-07-14,Jaffna-North,Northern,Dry Goods,Delivered,3,3.0,1697.72
ORD-101777,2024-02-29,Galle-South,Southern,Meat & Seafood,Delivered,3,3.0,19014.67
ORD-104927,2024-08-04,Kandy-Hub,Central,Meat & Seafood,In Transit,5,,10933.33
ORD-100491,2024-11-12,Jaffna-North,Northern,Dry Goods,In Transit,1,,3376.42
ORD-104653,2024-03-17,Colombo-Central,Western,Meat & Seafood,Delivered,5,5.0,11235.18
ORD-100033,2024-07-21,Colombo-Central,Western,Dry Goods,Delivered,3,3.0,2870.11
ORD-103022,2024-05-21,Kurunegala-West,North-Western,Dairy,Delivered,2,2.0,2856.54
ORD-103620,2024-12-29,Colombo-Central,Western,Beverages,In Transit,4,,2040.02
ORD-100485,2024-03-25,Colombo-Central,Western,Produce,Delivered,2,2.0,1741.25
ORD-100079,2024-09-01,Galle-South,Southern,Beverages,Delivered,4,4.0,3643.37
ORD-101344,2024-03-09,Colombo-Central,Western,Beverages,Delayed,2,5.0,4830.83
ORD-100577,2024-07-10,Kurunegala-West,North-Western,Produce,Delivered,4,4.0,3127.75
ORD-101175,2024-05-03,Galle-South,Southern,Produce,Delayed,1,4.0,1715.34
